idx,formula,a_site,regime,er_measured,pred_original,perm_mean,perm_std,perm_delta
1073,BaLa0.5Ta0.5O3,Ba,III,37.0,33.254524,32.982582550048825,0.5388806048551726,-0.27194168090820625
1074,BaTi0.1Co0.45W0.45O3,Ba,Ib,24.0,21.936764,21.104361114501952,1.4790742268032486,-0.8324026489257825
1075,Ba0.98Zn0.5W0.5O2.98,Ba,Ia,24.0,21.656336,21.557861976623535,0.29408914708469697,-0.09847385406494169
1076,BaMg0.333Ta0.667O3,Ba,Ib,24.0,24.529795,24.513673362731932,0.12584423079621337,-0.016121330261231748
1077,CaIn0.5Ta0.5O3,Ca,III,24.0,24.20015,24.07380828857422,0.45048578398725675,-0.12634124755859233
1078,CaPr0.5Ta0.5O3,Ca,III,24.0,22.737532,22.55360466003418,0.16332039319500705,-0.18392700195312628
1079,BaMg0.283Ta0.567Sn0.15O3,Ba,Ib,24.0,24.721195,24.642241821289062,0.30351139448325454,-0.0789533996582037
1080,BaTi0.5Ni0.25W0.25O3,Ba,Ib,24.2,23.715984,23.552622413635255,0.24157550005420575,-0.16336193084716655
1081,BaHfO3,Ba,Ia,24.2,24.78476,24.492274436950684,0.2830901652869343,-0.29248508453369126
1082,CaNd0.5Ta0.5O3,Ca,III,24.4,22.71043,22.481592712402342,0.1932390360689284,-0.2288374328613294
1083,BaMg0.33Ta0.63Ti0.017W0.017O3,Ba,Ib,24.5,24.495611,24.47287811279297,0.3645804543020718,-0.02273307800292912
1084,Ba0.9925Mg0.33Ta0.67O3,Ba,Ib,24.7,24.198765,24.164784507751463,0.3775437725189973,-0.03398029327392749
1085,BaMg0.33Ta0.53Ti0.067W0.067O3,Ba,Ib,23.6,23.841915,23.679424285888672,0.9168030492826513,-0.1624908447265625
1086,SrHfO3,Sr,III,23.5,22.961563,23.06536190032959,0.09213581695165561,0.10379878997802905
1087,Sr3Zn0.5Mg0.5Nb2O9,Sr,II,22.3,30.807495,32.02798236846924,0.9529892248314552,1.2204872512817388
1088,La0.952Na0.048Mg0.5W0.5O3,Other,III,22.6,25.910503,26.173259239196778,0.9817809748118824,0.2627558517456059
1089,La0.907Na0.0938Mg0.5W0.5O3,Other,III,22.6,25.435247,25.796692276000975,1.04545972148273,0.3614448547363267
1090,CaLi0.2333Nb0.4667Sn0.3O3,Ca,III,22.6,19.708933,24.79689136505127,7.350235507443048,5.087958488464356
1091,Ba0.99Zn0.5W0.5O2.99,Ba,Ia,23.0,22.132725,21.858082466125488,0.5267897867917801,-0.27464229583740263
1092,CaLa0.5Ta0.5O3,Ca,III,23.0,21.561203,21.44475643157959,0.14384747601726205,-0.11644657135009595
1093,NdMg0.5Ti0.5O3,Other,III,23.0,24.240843,24.830491104125976,0.33768905765428975,0.5896482849121085
1094,Ca0.07Mg0.93TiO3,Ca,III,23.0,21.472954,21.819507217407228,0.28206325360327217,0.34655342102050923
1095,LaAlO3,Other,Ia,23.4,22.428547,22.578744888305664,0.2782175009645541,0.15019798278808594
1096,BaZn0.1667Co0.1667Ta0.2222Nb0.2222Sb0.2222O3,Ba,Ib,24.9,24.140661,23.888302688598632,0.4066383648599446,-0.2523585510253916
1097,BaCo0.3333Ta0.6667O3,Ba,Ib,25.0,26.157541,25.753916282653808,1.1783537978741738,-0.4036249923706059
1098,CaEr0.5Ta0.5O3,Ca,III,26.4,25.905323,25.399670677185057,0.4542624848454941,-0.5056523513793962
1099,BaTi0.3Zn0.35W0.35O3,Ba,Ib,26.4,26.326187,24.97934600830078,2.2672160066656644,-1.3468411254882824
1100,BaTi0.55Ni0.225W0.225O3,Ba,Ib,26.5,26.50205,26.22151927947998,0.3430015296979235,-0.28053112030029226
1101,CaEu0.5Ta0.5O3,Ca,III,26.8,24.256512,23.93820388793945,0.284490492724519,-0.31830780029297046
1102,CaY0.5Ta0.5O3,Ca,III,27.0,26.11684,25.57885986328125,0.4088308249650784,-0.5379804992675794
1103,Ca0.6Ba0.4Y0.5Ta0.5O3,Ca,III,27.0,27.472824,27.259213104248047,0.2266506529175415,-0.21361099243164006
1104,Ba5Nb2Ta2O15,Ba,Ib,27.0,28.725739,28.49478199005127,0.3637499149606717,-0.2309565353393559
1105,BaMg0.1333Zn0.2Ta0.6667O3,Ba,Ib,27.0,26.8231,26.755787391662597,0.33958408088622155,-0.06731174468994183
1106,CaZrO3,Ca,III,27.0,25.413319,25.65932125091553,0.3076492666208494,0.2460026168823255
1107,BaMg0.3Ta0.6Ti0.1O3,Ba,Ib,26.3,26.124521,26.019331245422364,0.23685747370714458,-0.10519001007079964
1108,CaYb0.5Ta0.5O3,Ca,III,25.8,26.197128,25.798609085083008,0.46993494941100766,-0.3985192108154294
1109,Sr2AlNbO6,Sr,Ib,25.0,22.429592,23.673775062561035,0.6907055840115078,1.2441829299926752
1110,SmMg0.5Ti0.5O3,Other,III,25.0,25.335827,26.100098037719725,0.5498799380228144,0.7642711639404283
1111,NdAlO3,Other,II,22.3,20.020212,20.21762454986572,0.30218240758576576,0.1974123764038076
1112,Ba4LiTa2SbO12,Ba,Ib,25.1,38.44729,28.652610511779784,6.165055494997853,-9.79467800140381
1113,CaLi0.3Nb0.6Sn0.1O3,Ca,III,25.2,23.187366,25.844319458007813,5.686082481278506,2.6569529724121104
1114,BaTi0.5Zn0.25W0.25O3,Ba,Ib,25.4,25.728893,26.216226119995117,1.4718697652481856,0.4873328399658199
1115,Ba5Nb3TaO15,Ba,Ib,25.7,31.75697,31.311036796569823,0.6417732072762401,-0.4459326553344738
1116,CaSm0.5Ta0.5O3,Ca,III,25.8,23.797283,23.536133651733397,0.22923095289039255,-0.26114952087402443
1117,BaMg0.3183Ta0.67O3,Ba,Ib,25.1,24.448948,24.42971118927002,0.4318041872677351,-0.019236717224121236
1118,BaYb0.5Ta0.5O3,Ba,Ib,22.1,26.506098,25.841273956298828,0.6162876577087492,-0.6648238372802737
1119,La0.823Na0.176Mg0.5W0.5O3,Other,III,22.1,24.251211,24.66884002685547,1.2121993718429989,0.41762886047363423
1120,Ca5Nb2HfO12,Ca,III,22.0,36.213585,35.017935256958005,2.018451955728441,-1.195649642944339
1121,BaMg0.5W0.5O3,Ba,Ia,17.0,17.71764,17.31138027191162,0.7186439102319567,-0.406259651184083
1122,BaMg0.34W0.35Ti0.31O3,Ba,Ib,17.1,14.881045,15.033633556365967,0.12015431185100887,0.15258821487426744
1123,BaNi0.5W0.5O3,Ba,Ia,17.1,18.104897,18.06577674865723,0.5068149275415315,-0.03911979675292798
1124,BaMg0.33Ta0.13Ti0.267W0.267O3,Ba,Ib,17.4,16.259335,16.649510345458985,0.3276092232663915,0.39017578125000085
1125,DyAlO3,Other,III,17.6,16.95067,17.119268035888673,0.19811291372945544,0.16859779357910298
1126,BaNi0.5W0.5O3,Ba,Ia,18.1,18.104897,17.8278897857666,0.6222114675048406,-0.27700675964355526
1127,SrNi0.5W0.5O3,Sr,II,18.3,20.62994,22.049403305053712,0.47351367588970317,1.4194632720947276
1128,GdAlO3,Other,III,18.4,17.857794,18.05002063751221,0.29475412217017655,0.19222682952880987
1129,Sr2AlNbO6,Sr,Ib,19.0,22.387196,23.411295852661134,0.7179539258599019,1.0241002655029305
1130,Ba.2Sr0.8SmSbO6,Other,Ia,19.0,19.159235,19.603202476501465,8.020398884869977,0.44396747589111385
1131,BaZn0.5W0.5O3,Ba,Ia,19.0,22.636126,22.323403854370117,0.5730109589324208,-0.31272171020507855
1132,NdMg0.47Ba0.03Sn0.5O3,Other,III,19.1,18.827223,18.81048973083496,0.18869808404871138,-0.016733093261720455
