idx,formula,regime,a_site,is_train,is_holdout,er_measured,er_predicted,ensemble_std,er_cm,delta_lst,delta_tilt,delta_res,sigma_conf,has_cm,cm_approx,gii,gii_norm,tolerance_factor,chi_A,chi_B,d0_per_field,d0_B_fraction,alpha_total,a_off_centering_frac,phase_transition,ordering_proxy,soft_mode_tolerance_weighted,RE_x_chi_A,f_lst
27,Sr2La2TiNb2O12,III,Sr,True,False,39.0,40.875904,0.815507,0.0,38.59811,-0.00030564558,0.49465865,0.9975274,False,True,1.3182707,1.0,0.91706240687268,0.95,1.3880000000000003,0.07321367126361038,0.6,49.79,0.0,0.0,1.1330624026517846,0.4035074590239793,0.0,
28,Ba2SrLaNb3O12,II,Ba,True,False,39.5,41.546608,1.0846137,0.0,38.52878,-0.00042317374,0.472261,0.99172246,False,True,0.45814767,0.39295366,0.9767642783462442,0.9099999999999999,1.475,0.07606889794096311,0.75,52.05,0.0,0.0,0.5831623721972826,0.4395439252558099,0.0,
29,Ba.5Sr.5LaNb3O12,Ib,Other,True,False,38.95,37.53063,1.4913998,0.0,38.527534,-0.0004880024,0.62116325,0.9835122,False,True,0.05159978,0.044257175,0.9948021872575448,0.98,1.6,0.08192,1.0,46.81,0.0,0.0,-0.0,0.5968813123545268,0.0,
30,BaSr2LaNb3O12,III,Sr,True,False,37.1,36.658295,3.0262833,0.0,35.87787,-0.00039399983,0.539049,0.99416244,False,True,0.6631684,0.5688001,0.9580227515608196,0.9299999999999999,1.475,0.07606889794096311,0.75,51.05,0.0,0.0,0.589410540470825,0.4311102382023688,0.0,
31,Sr3LaNb3O12,III,Sr,True,False,35.8,36.590313,1.6363978,0.0,34.13711,-0.00035051064,0.46004766,0.9960496,False,True,0.8918976,0.7649814,0.9392812247753952,0.95,1.475,0.07606889794096311,0.75,50.05,0.0,0.0,0.5956587087443673,0.42267655114892777,0.0,
32,BaLa0.5Nb0.5O3,III,Ba,True,False,45.0,44.30557,1.0631105,14.323596,29.73418,-0.0003430101,0.2481348,0.36607236,True,False,0.8458055,0.72544813,0.9518745131357372,0.89,1.35,0.0665607499633807,0.5,14.834999999999999,0.0,0.0,0.6931471805599453,0.2855623539407211,0.0,2.0758879264676273
33,BaPr0.5Nb0.5O3,III,Ba,True,False,44.5,43.21682,0.9988736,14.143694,28.876348,-0.00036169364,0.19714053,0.29989025,True,False,0.6716674,0.57608974,0.9608990570525996,0.89,1.365,0.06549670598600167,0.5,14.584999999999999,0.0,0.0,0.6931471805599453,0.2882697171157798,0.0,2.0416411723839616
34,BaNd0.5Nb0.5O3,III,Ba,True,False,44.0,41.635216,1.1452299,13.811662,27.682425,-0.00037370255,0.14150512,0.25514084,True,False,0.54134285,0.46431026,0.9624198107038244,0.89,1.37,0.0653095665934298,0.5,14.479999999999999,0.0,0.0,0.6931471805599453,0.2887259432111473,0.0,2.004279065039385
35,BaSm0.5Nb0.5O3,II,Ba,True,False,43.0,40.138355,1.1871161,13.953447,26.083603,-0.00042183595,0.10172778,0.20895639,True,False,0.3898634,0.3343862,0.9678905918015044,0.89,1.385,0.06461682516217973,0.5,14.385,0.0,0.0,0.6931471805599453,0.29036717754045127,0.0,1.8693304242313744
36,BaEu0.5Nb0.5O3,II,Ba,True,False,40.0,38.919624,1.1161432,13.880859,24.947107,-0.0004405168,0.09210094,0.19484496,True,False,0.3387949,0.29058468,0.9703174886580844,0.89,1.4,0.06429948062655297,0.5,14.315,0.0,0.0,0.6931471805599453,0.2910952465974253,0.0,1.7972307765679343
37,BaGd0.5Nb0.5O3,II,Ba,True,False,40.0,38.158325,1.0065621,13.855624,24.210592,-0.00044973762,0.09255749,0.19923118,True,False,0.35495684,0.3044468,0.9723122025452297,0.89,1.4,0.06403390577858643,0.5,14.264999999999999,0.0,0.0,0.6931471805599453,0.2916936607635689,0.0,1.7473476474246123
38,BaTb0.5Nb0.5O3,II,Ba,True,False,39.0,37.385796,1.0481952,13.997077,23.310755,-0.00046993705,0.07843079,0.18543082,True,False,0.30314922,0.26001135,0.9756550132347046,0.89,1.4100000000000001,0.0635790498766044,0.5,14.219999999999999,0.0,0.0,0.6931471805599453,0.29269650397041136,0.0,1.6654016406425427
39,Ca5Nb2TiO12,III,Ca,False,True,48.0,37.467678,1.8843158,0.0,39.57414,-0.0003592229,0.5405836,0.99309003,False,True,0.56421494,0.48392767,0.9552042302963716,1.0,1.58,0.08488417238353166,1.0,48.93,0.0,0.0,0.730812563597748,0.7004831022173392,0.0,
40,BaDy0.5Nb0.5O3,II,Ba,True,False,38.9,36.74372,1.0714059,13.9698305,22.703547,-0.00048082526,0.07082102,0.17003855,True,False,0.24171948,0.20732301,0.9781210530199942,0.89,1.4100000000000001,0.06323546685673558,0.5,14.159999999999998,0.0,0.0,0.6931471805599453,0.2934363159059982,0.0,1.6251841423559148
41,BaY0.5Nb0.5O3,II,Ba,True,False,37.0,36.02114,0.52598995,13.844435,22.101542,-0.00050327054,0.075667396,0.16754971,True,False,0.23137818,0.19845328,0.9808255351942432,0.89,1.4100000000000001,0.06285064787451694,0.5,14.075,0.0,0.0,0.6931471805599453,0.294247660558273,0.0,1.596420655664171
42,BaYb0.5Nb0.5O3,Ib,Ba,True,False,36.0,35.020798,1.7652534,14.227498,20.732754,-0.00051124266,0.06105389,0.13450766,True,False,0.08063567,0.06916128,0.988111147340533,0.89,1.35,0.061770899133693095,0.5,13.995,0.0,0.0,0.6931471805599453,0.2964333442021599,0.0,1.4572312011570832
