idx,formula,a_site,regime,er_measured,pred_original,perm_mean,perm_std,perm_delta
685,Ba8ZnNb5.4Sb0.6O24,Ba,Ib,33.6,30.784903,25.6981799697876,2.2619732256697658,-5.086722602844237
686,Ba8ZnNb5.1Sb0.9O24,Ba,Ib,31.0,28.333591,24.11982521057129,2.1391340382069335,-4.213766250610352
687,Ba8ZnNb4.8Sb.2O24,Ba,Ib,29.4,26.879812,23.056363945007323,1.9518250352171829,-3.8234482955932627
688,CaCo0.333Ta0.667O3,Ca,III,23.0,23.078451,23.294401893615724,0.9745001898321966,0.21595073699951328
689,Ba8ZnNb4.5Sb.5O24,Ba,Ib,25.9,25.886637,22.554010162353517,1.8015934689564908,-3.332626571655272
690,Ba8ZnNb3.6Sb2.4O24,Ba,Ib,17.4,19.83662,18.359373741149902,0.9440458810165065,-1.4772465896606448
691,CaAl0.5Nb0.5O3,Ca,II,25.0,22.549398,25.919024238586427,3.122739987303563,3.3696258163452164
692,CaFe0.5Nb0.5O3,Ca,III,40.0,34.876877,30.345127182006834,3.7620907834392625,-4.531749649047853
693,CaAl0.333Nb0.667O3,Ca,II,28.0,26.68447,30.543383102416993,3.1206658072159392,3.8589138793945317
694,CaCo0.333Nb0.667O3,Ca,III,29.0,27.547604,25.7308642578125,2.1304216853658464,-1.8167393493652355
695,CaNi0.333Nb0.667O3,Ca,III,26.0,28.381659,26.26102321624756,2.6265156056901104,-2.12063533782959
696,CaCu0.333Nb0.667O3,Ca,III,27.0,28.644308,27.349136390686034,2.2706670176031536,-1.2951716995239266
697,CaZn0.333Nb0.667O3,Ca,III,35.0,28.485025,27.313679695129395,1.8652706944618878,-1.1713457107543945
698,CaAl0.5Ta0.5O3,Ca,II,20.0,20.779171,22.87163501739502,1.2555632187871646,2.092464027404784
699,CaFe0.5Ta0.5O3,Ca,III,32.0,28.104364,27.50930561065674,1.1590928490818915,-0.5950587844848627
700,CaMg0.333Ta0.667O3,Ca,III,21.0,21.348167,21.428657722473144,0.8609183414032022,0.08049030303955007
701,Ba8ZnNb4.2Sb.8O24,Ba,Ib,19.9,24.883663,21.712829971313475,1.7407245441506949,-3.1708332061767592
702,SrCr0.5Nb0.5O3,Sr,Ib,35.1,34.10926,36.98517219543457,2.1222335085291224,2.8759116363525408
703,CaMg0.333Nb0.667O3,Ca,III,28.0,27.263464,24.837813301086427,2.0845974440832955,-2.425650672912596
704,SrAl0.5Nb0.5O3,Sr,Ib,30.0,30.650274,33.291029663085936,1.8183050706149368,2.640755386352538
705,CaAl0.421Nb0.421Ti0.158O3,Ca,II,29.1,26.678211,27.67084800720215,3.576968023565203,0.9926367950439463
706,CaAl0.375Nb0.375Ti0.25O3,Ca,II,32.2,29.935373,31.431224403381346,4.447687666650364,1.4958510971069323
707,CaAl0.335Nb0.335Ti0.33O3,Ca,II,35.1,33.27204,34.703992500305176,4.6597815033712315,1.431951179504395
708,CaAl0.25Nb0.25Ti0.5O3,Ca,II,45.3,42.709625,45.19272994995117,7.697377605934607,2.483104705810547
709,CaAl0.2355Nb0.2355Ti0.529O3,Ca,II,44.9,44.87426,46.83170440673828,7.853930839953069,1.9574444580078136
710,CaAl0.125Nb0.125Ti0.75O3,Ca,II,75.4,73.720825,76.50806365966797,17.69962371767402,2.787238464355468
711,Ba0.1La0.9Mg0.45Ti0.55O3,Other,III,30.9,32.167267,32.241385803222656,1.0886440978760952,0.07411895751953068
712,Ba0.3La0.7Mg0.35Ti0.65O3,Other,II,42.5,41.985676,41.64272399902344,0.3620486826767551,-0.3429518127441398
713,Ba0.5La0.5Mg0.25Ti0.75O3,Ba,Ib,60.9,60.132862,65.71489318847657,4.188214157467008,5.582031097412113
714,Ba0.7La0.3Mg0.15Ti0.85O3,Ba,Ib,105.8,102.98558,109.71284545898438,7.260361442907308,6.727265014648438
715,LiBa4Nb3O12,Ba,Ib,37.0,28.616146,28.616146087646484,0.0,0.0
716,CaAl0.4505Nb0.4505Ti0.099O3,Ca,II,27.0,24.895538,26.503294639587402,3.152245122853279,1.607756309509277
717,LiBa4Nb2TaO12,Ba,Ib,34.0,38.750343,38.750343322753906,0.0,0.0
718,LiBa4Ta3O12,Ba,Ib,28.0,31.08012,31.080120086669922,0.0,0.0
719,BaLa0.5Ta0.5O3,Ba,III,37.1,34.54196,33.692478790283204,0.9670919136177414,-0.8494828796386713
720,BaNd0.5Ta0.5O3,Ba,III,38.7,36.318756,35.43964714050293,1.5677634353566745,-0.8791089630126976
721,BaSm0.5Ta0.5O3,Ba,II,37.6,35.56245,34.44448867797851,1.5148367934553029,-1.1179617309570347
722,BaEu0.5Ta0.5O3,Ba,II,36.5,34.7719,34.05620086669922,0.9473286605313439,-0.7156993103027318
723,BaGd0.5Ta0.5O3,Ba,II,36.0,34.39811,33.57943534851074,0.9463401782455645,-0.8186740875244141
724,BaTb0.5Ta0.5O3,Ba,II,35.5,33.333675,32.83179527282715,0.694019675919013,-0.5018801116943337
