idx,formula,regime,a_site,er_measured,PC1,PC2,PC3,PC4
120,Ba2Sr3Ta4O15,Ib,Ba,35.2,0.43348548,-3.1866877,0.35752285,-0.110656664
121,BaSr4Ta4O15,Ib,Ba,33.2,0.32232794,-3.5816472,0.26394093,-0.14220826
122,Sr5Ta4O15,II,Sr,43.5,1.9127,-1.9982724,0.13886918,-0.14495343
123,Ba5NbTa3O15,Ib,Ba,31.7,2.1506736,-1.8277001,-0.5350592,-0.0041905325
124,Ba5Nb2Ta2O15,Ib,Ba,34.2,1.4143927,-1.7806722,0.22406673,-0.18002257
125,Ba5Nb3TaO15,Ib,Ba,37.2,0.7881243,-1.142512,0.972009,-0.17396154
126,Ba5Nb4O15,Ib,Ba,42.0,0.0060963533,0.65506613,1.7552588,0.08952228
127,Sr5Nb2Ta2O15,II,Sr,34.3,1.2857782,-2.2856526,0.8457594,-0.22857065
128,Sr5Nb3TaO15,II,Sr,38.2,0.95184785,-1.8107355,1.3592075,-0.20242691
129,Li0.774Zr0.057NbO3,III,Li,30.97,2.9243124,2.627636,-1.0672365,-0.89465916
130,Li0.774Zr0.057NbO3,III,Li,38.66,2.9243124,2.627636,-1.0672365,-0.89465916
131,Li0.774Zr0.057NbO3,III,Li,27.75,2.959877,2.706484,-1.1963334,-0.7203656
132,Li0.774Zr0.057NbO3,III,Li,33.01,2.9243124,2.627636,-1.0672365,-0.89465916
133,Ba6Nb4ZrO18,Ib,Ba,32.4,0.7700854,-2.0810988,0.7170272,-0.4669834
134,Ba6Ta4TiO18,Ib,Ba,29.3,1.4701426,-2.5518737,-0.2871325,-0.1571509
135,Ba5SrNb4TiO18,Ib,Ba,50.8,-2.053499,-0.21223219,2.1489637,0.27375865
136,Ba5SrNb4ZrO18,Ib,Ba,39.5,0.056438196,-1.6533352,1.351526,-0.3836692
137,Ba5SrTa4TiO18,Ib,Ba,34.9,0.5804226,-2.990987,0.38619477,-0.38585886
138,Sr6Nb4TiO18,Ib,Sr,46.2,-0.17160963,-3.0495846,1.1683987,-0.4268309
139,BaZn0.333Ta0.667O3,Ib,Ba,29.5,0.8840168,-3.15696,-0.35590285,0.637977
140,BaZn0.333Ta0.667O3,Ib,Ba,29.6,2.7561467,-1.616153,-1.3675067,1.9060663
141,BaZn0.333Ta0.667O3,Ib,Ba,28.4,2.69713,-1.7467731,-1.3353428,1.8117962
142,BaZn0.333Ta0.667O3,Ib,Ba,30.2,2.8312438,-1.4225906,-1.4048998,2.0317066
143,NdCo0.5Ti0.5O3,III,Nd,27.0,3.9292755,-2.4357455,-1.7137711,-0.79309434
144,Sr5Nb4O15,II,Sr,45.2,0.38963225,-0.32538792,2.0886462,-0.019839002
145,Nd0.9Sr0.1Co0.45Ti0.55O3,III,Nd,29.32,3.2526162,-2.9042315,-1.5073571,-0.90503514
146,Ba2SrYNb3O12,Ib,Ba,34.1,-0.49361244,1.8177459,2.4710293,1.0611242
147,BaSr2YNb3O12,II,Ba,34.7,0.17125982,1.2809507,2.5014572,0.6802447
148,Sr3YNb3O12,III,Sr,34.9,-0.33926255,0.98952836,2.5907419,0.6661557
149,BaZn0.33Ta0.67O3,Ib,Ba,29.1,2.1964204,-1.9414164,-0.7954835,0.811301
150,BaZn0.33Ta0.67O3,Ib,Ba,30.4,2.1964204,-1.9414164,-0.7954835,0.811301
151,Sr0.1Ba0.9Ti0.1Zn0.3Ta0.6O3,Ib,Sr,33.7,0.27125537,-2.6407208,0.656139,-0.2619718
152,BaMg0.333Nb0.667O3,Ib,Ba,31.2,1.0043027,-1.9929506,0.9190467,-0.48453787
153,BaMg0.333Nb0.667O3,Ib,Ba,31.5,0.9870931,-2.1136055,0.91258323,-0.54025507
154,BaMg0.333Nb0.667O3,Ib,Ba,31.0,1.0043027,-1.9929506,0.9190467,-0.48453787
155,BaZn0.25Ta0.50Ti0.33O3,Ib,Ba,31.5,-1.9879574,-5.2619147,-0.31437358,0.61313766
156,BaSn0.226Zn0.255Nb0.515O3,Ib,Ba,32.0,0.3797925,-1.5437006,1.2395543,0.14632346
157,Ba3YNb3O12,Ib,Ba,29.9,-0.1249116,2.11727,2.2368047,0.85263526
158,La0.680Al0.04Ti0.96O3,II,La,71.9,-1.3922362,2.8493721,2.0953648,0.77603126
159,La0.687Al0.06Ti0.94O3,II,La,67.6,-1.2203834,2.6463199,2.2870069,0.7186292
160,La0.693Al0.08Ti0.92O3,II,La,66.9,-1.0340487,2.3960295,2.4116719,0.6333767
161,Ca4La2Ti4Mg0.333Nb0.667O17,III,Ca,59.3,-3.9474068,4.960005,-0.62423766,0.99448067
162,Ca4La2Ti3Mg0.667Nb.333O17,III,Ca,49.21,-0.90770584,0.6565189,1.3637223,-0.38819322
163,Ca4La2Ti2.5Mg0.833Nb.667O17,III,Ca,44.36,-2.305145,3.0915883,0.6958604,0.3789868
164,Ca4La2Ti2MgNb2O17,III,Ca,40.45,-1.9808915,4.3584003,-0.3225625,0.05389964
165,Ca4La2TiMg.333Nb2.667O17,III,Ca,35.23,-1.1056634,3.99147,-0.38389152,-0.27766874
166,Pb0.55Ca0.45Fe0.475Nb0.475Zr0.05O3,II,Pb,108.5,-4.359238,6.6803503,-3.5541325,0.01818286
167,Pb0.50Ca0.50Fe0.475Nb0.475Zr0.05O3,II,Pb,94.3,-2.7153764,7.341078,-2.9232962,0.065291576
168,Pb0.45Ca0.55Fe0.475Nb0.475Zr0.05O3,II,Pb,81.2,-1.0923649,7.1397605,-2.0746827,-0.10010348
169,Pb0.40Ca0.60Fe0.475Nb0.475Zr0.05O3,II,Pb,67.2,0.8350069,5.9985123,-1.1970417,-0.48942462
170,Ca4La2Ti5O17,II,Ca,71.86,-1.0998037,2.9997568,1.3370984,0.5652972
171,Pb0.55Ca0.45Fe0.475Nb0.475Zr0.05O3,II,Pb,100.1,-4.430317,6.653088,-3.602131,0.01667445
172,Pb0.45Ca0.55Fe0.475Nb0.475Zr0.05O3,II,Pb,86.8,-1.1655202,7.159544,-2.112746,-0.09348639
173,Pb0.40Ca0.60Fe0.475Nb0.475Zr0.05O3,II,Pb,70.1,0.76626474,6.0097957,-1.1997437,-0.49069118
174,Pb0.60Ca0.40Fe0.495Nb0.495Zr0.01O3,II,Pb,126.7,-8.855459,2.2154665,-4.085916,-0.88093513
175,Pb0.55Ca0.45Fe0.495Nb0.495Zr0.01O3,II,Pb,90.6,-3.7376845,6.8563027,-3.2054937,0.084724985
176,Pb0.50Ca0.50Fe0.495Nb0.495Zr0.01O3,II,Pb,86.3,-2.3671606,7.5029583,-2.8105464,0.10619972
177,Pb0.45Ca0.55Fe0.495Nb0.495Zr0.01O3,II,Pb,82.5,-0.8555459,7.332245,-2.0901437,-0.056782715
178,Pb0.40Ca0.60Fe0.495Nb0.495Zr0.01O3,II,Pb,68.7,0.9085088,6.314477,-1.3339008,-0.40480733
179,Pb0.60Ca0.40Fe0.495Nb0.495Zr0.01O3,II,Pb,128.4,-8.86618,2.2075193,-4.1051517,-0.87905794
180,Pb0.55Ca0.45Fe0.495Nb0.495Zr0.01O3,II,Pb,97.1,-3.8006773,6.8442016,-3.255097,0.084276155
181,Pb0.50Ca0.50Fe0.495Nb0.495Zr0.01O3,II,Pb,89.2,-2.4280772,7.5066075,-2.8610272,0.110004745
182,Pb0.45Ca0.55Fe0.495Nb0.495Zr0.01O3,II,Pb,85.3,-0.9244416,7.3611073,-2.1286137,-0.049216904
183,Pb0.50Ca0.50Fe0.475Nb0.475Zr0.05O3,II,Pb,96.5,-2.782315,7.333837,-2.973959,0.06788235
184,BaZn0.20Co0.133Nb0.667O3,Ib,Ba,35.5,-0.5006652,-2.0864477,1.8279501,-0.29567373
185,BaCo0.233Zn0.100Nb0.667O3,Ib,Ba,34.5,-0.6573847,-3.226934,1.4413754,-0.19177936
186,La0.8Ti0.6Al0.4O3,Ia,La,38.7,3.0969243,-1.3442535,0.36440912,-0.87307405
187,La0.700Al0.10Ti0.90O3,II,La,62.6,-0.7871964,1.8242807,2.5911021,0.55096567
188,La0.708Al0.125Ti0.875O3,II,La,60.7,-0.5716426,1.5381352,2.6152637,0.4515666
189,La0.717Al0.15Ti0.85O3,II,La,57.7,-0.36150172,1.23686,2.600622,0.35030755
190,La0.733Al0.20Ti0.80O3,II,La,53.9,-0.18861099,0.25243625,2.4647882,0.030477727
191,La0.767Al0.30Ti0.70O3,II,La,44.9,0.80214566,-0.59519666,1.8230201,-0.28301722
192,La0.800Al0.40Ti0.60O3,Ia,La,39.6,3.0979671,-1.3344487,0.36839977,-0.8708734
193,La0.833Al0.50Ti0.50O3,Ia,La,34.4,3.3199437,-1.5183982,0.044152874,-0.99127334
194,La0.680Al0.04Ti0.96O3,II,La,70.4,-1.3928937,2.8440654,2.095705,0.7725189
195,La0.687Al0.06Ti0.94O3,II,La,68.0,-1.2203834,2.6463199,2.2870069,0.7186292
196,La0.693Al0.08Ti0.92O3,II,La,66.7,-1.034584,2.3871918,2.4123497,0.62918353
197,La0.700Al0.10Ti0.90O3,II,La,65.3,-0.7871964,1.8242807,2.5911021,0.55096567
198,BaCo0.333Nb0.667O3,Ib,Ba,32.0,0.5348904,-2.0797698,0.90322906,-0.12555265
199,La0.708Al0.125Ti0.875O3,II,La,60.8,-0.5716426,1.5381352,2.6152637,0.4515666
200,La0.733Al0.20Ti0.80O3,II,La,53.1,-0.18861099,0.25243625,2.4647882,0.030477727
201,La0.767Al0.30Ti0.70O3,II,La,46.3,0.7999507,-0.57592434,1.8303355,-0.27844504
202,La0.800Al0.40Ti0.60O3,Ia,La,40.0,3.0979671,-1.3344487,0.36839977,-0.8708734
203,La0.833Al0.50Ti0.50O3,Ia,La,36.6,3.3199437,-1.5183982,0.044152874,-0.99127334
204,La0.8Ti0.6Al0.4O3,Ia,La,29.4,3.0996835,-1.3150584,0.37644288,-0.8663825
205,La0.8Ti0.6Al0.4O3,Ia,La,34.2,3.0996835,-1.3150584,0.37644288,-0.8663825
206,La0.8Ti0.6Al0.4O3,Ia,La,35.1,3.0988882,-1.3247173,0.3724114,-0.8686428
207,La0.8Ti0.6Al0.4O3,Ia,La,38.7,3.0988882,-1.3247173,0.3724114,-0.8686428
208,La0.8Ti0.6Al0.4O3,Ia,La,39.6,3.0979671,-1.3344487,0.36839977,-0.8708734
209,La0.8Ti0.6Al0.4O3,Ia,La,40.0,3.0979671,-1.3344487,0.36839977,-0.8708734
210,La0.8Ti0.6Al0.4O3,Ia,La,38.3,3.0969243,-1.3442535,0.36440912,-0.87307405
211,La0.717Al0.15Ti0.85O3,II,La,54.4,-0.36150172,1.23686,2.600622,0.35030755
212,Ba6Nb4TiO18,Ib,Ba,46.2,-0.96201044,-0.56394285,1.903468,0.03208867
213,CaTi0.50Mg0.1667Nb0.3333O3,III,Ca,54.31,-0.6464825,1.0279669,0.83357346,-0.88433915
214,CaTi0.35Mg0.2167Nb0.4333O3,III,Ca,44.24,1.0743613,1.3103837,0.23076507,-1.1366893
215,Ca0.45Li0.175Dy0.0667Nd0.2417TiO3,III,Ca,100.1,-9.506073,-0.5013437,-2.121126,-0.6288704
216,Ca0.45Li0.225Dy0.0333Nd0.2583TiO3,III,Ca,105.1,-9.583673,-0.48971486,-2.5214033,-0.65893215
217,Ca0.30Li0.20Dy0.10Nd0.30TiO3,III,Ca,97.6,-7.9563866,0.6234238,-1.1148019,-0.7291026
218,Ca0.20Li0.25Dy0.10Nd0.35TiO3,III,Ca,89.4,-7.670652,-0.7058433,0.4858387,-0.2690822
219,Ca0.40Li0.25Dy0.0333Nd0.2833TiO3,III,Ca,103.0,-9.190359,0.07301804,-2.4042153,-0.6204419
220,Ca0.10Li0.25Dy0.1333Nd0.3833TiO3,III,Ca,70.6,-4.5593524,1.0877676,1.4944046,0.27347934
221,Ca0.5Pb0.5Zr0.95Ti0.05O3,III,Ca,72.0,-1.0387571,4.8058577,-1.1276675,-0.42660254
222,Ca4La2Ti5O17,II,Ca,73.0,-1.8674375,1.9793719,1.6298538,0.5897497
223,Ca0.268Li0.165Sm0.433TiO3,III,Ca,95.5,-6.6068816,0.070655644,0.36528993,-0.82592624
224,Ca0.5Pb0.5Fe0.5Ta0.5O3,II,Ca,67.9,0.20941798,6.0802565,-1.861022,-0.44317898
225,Ca0.5Pb0.5Fe0.5Ta0.5O3,II,Ca,79.6,0.15752526,6.0989304,-1.8659365,-0.45063546
226,Ca0.5Pb0.5Fe0.5Ta0.5O3,II,Ca,84.0,0.10423463,6.11535,-1.8713048,-0.45756704
227,Ca0.5Pb0.5Fe0.5Ta0.5O3,II,Ca,83.9,0.049756885,6.1293545,-1.8771296,-0.46390864
228,Pb.0ZrO3,III,Pb,129.0,-9.600065,-1.0539117,-1.4892814,-0.701261
229,Ba0.05Pb0.95ZrO3,II,Ba,135.0,-9.037089,-0.6678838,-0.99151015,-0.5416237
230,Pb0.90Sr0.10ZrO3,III,Pb,127.0,-9.856022,-1.4129304,-1.5140053,-0.8739405
231,Pb0.50Sr0.50ZrO3,III,Pb,101.0,-8.368009,-1.8796023,0.80256593,-0.63826245
232,Pb0.40Sr0.60ZrO3,III,Pb,73.0,-5.742191,-2.1696017,2.3206878,-0.58749694
233,Pb0.95Ca0.05ZrO3,III,Pb,112.0,-9.739543,-0.9365997,-1.6800967,-0.6332814
234,Pb0.70Ca0.30ZrO3,III,Pb,132.0,-9.868161,-0.36512792,-2.8249092,-0.80154634
235,Ca0.45Li0.125Dy0.10Nd0.225TiO3,III,Ca,121.3,-9.28803,-0.5141677,-1.6774915,-0.5677056
