sample_idx,feature_name,shap_value
5,f_41,-0.08968291045549182
5,f_42,-0.3434612640500048
5,f_43,-0.04196417399786074
5,f_44,0.11818304929433372
5,f_45,0.13471137815367962
5,f_46,-0.8366370939369402
5,f_47,-0.9816370538167989
5,f_48,-0.6741678680457711
5,f_49,0.26753552534963726
5,f_50,-0.11797778329815463
5,f_51,-0.0819463030002158
5,f_52,-0.9370106838672178
5,f_53,0.1042952215754686
5,f_54,0.06445312836143789
5,f_55,-0.35036035755559447
5,f_56,0.8327019334347529
5,f_57,0.19733639122153812
5,f_58,0.24552512993707498
5,f_59,0.057102096609978455
5,f_60,-0.07937353817377275
5,f_61,0.27249138451824867
5,f_62,0.08814084587914493
5,f_63,-1.6619496377295484
5,f_64,-0.9317030883306976
5,f_65,-0.34923988934817024
5,f_66,-0.38817409156140137
5,f_67,-1.0261064798908446
5,f_68,0.20949915079417702
5,f_69,-0.1294053176253035
5,f_70,-0.44027921782730767
5,f_71,-0.006230894007649372
5,f_72,-0.4777409725633376
5,f_73,0.13743511257629462
5,f_74,0.012420410097773664
5,f_75,0.0
5,f_76,0.0
5,f_77,-0.49809092728445237
5,f_78,-0.06422051679522067
5,f_79,-0.2960059661162473
5,f_80,0.24989521580520985
5,f_81,0.02796410426373839
5,f_82,0.8663920886009135
5,f_83,-0.227362130125493
5,f_84,4.16666352396584
5,f_85,-0.8787520690036288
5,f_86,-0.009315043168003037
5,f_87,-0.009519691954307383
5,f_88,0.03536775794876736
5,f_89,0.04075656594147606
5,f_90,-0.594591995596182
5,f_91,-0.24488319254259608
5,f_92,0.08499427157704459
5,f_93,-0.04730117418984512
5,f_94,0.1669906588725854
5,f_95,0.0
5,f_96,0.017613105623822567
5,f_97,0.13245562058762914
5,f_98,-0.05620028762753307
5,f_99,-0.006732111915059243
5,f_100,-0.028013085227470463
5,f_101,1.9364618217787122
5,f_102,-0.3589116991321147
5,f_103,-6.30560710272449
5,f_104,0.4841431927680969
5,f_105,-0.03869212853620411
5,f_106,0.06463311478729113
5,f_107,-0.002746682520955801
6,f_0,-0.22734434546031665
6,f_1,-1.2420971036026662
6,f_2,-0.05870299145388625
6,f_3,-0.6377094240741186
6,f_4,0.0011243074564819733
6,f_5,-0.28363834943628013
6,f_6,-1.0335942431110088
6,f_7,-3.265835664288173
6,f_8,-0.20175440892092353
6,f_9,-0.5608100427307688
6,f_10,-0.010285679831475675
6,f_11,-0.09277608455923389
6,f_12,-1.9226270453874372
6,f_13,-2.401901331636994
6,f_14,0.067815974608373
6,f_15,1.238245998821302
6,f_16,-0.8341917509573276
6,f_17,-3.5416797277808008
6,f_18,-2.4562225202091965
6,f_19,-1.1950362418148142
6,f_20,-2.164357512711589
6,f_21,-2.1051539253240437
6,f_22,0.8442884914001435
6,f_23,0.5951792724870343
6,f_24,0.7078570980009954
6,f_25,0.21770802201073702
6,f_26,-3.5733555347704624
6,f_27,0.07220991675202787
6,f_28,-0.48121309834288617
6,f_29,-1.3650379185234578
6,f_30,0.01020699905558407
6,f_31,0.042501057250930396
6,f_32,0.3617175183133963
6,f_33,0.11107538626214525
6,f_34,0.3476724327328185
6,f_35,-0.007046047309922025
6,f_36,-0.1256177508882115
6,f_37,-0.7466015591934397
6,f_38,0.26088008135875485
6,f_39,-0.7392606242336447
6,f_40,0.2199850768040622
6,f_41,-0.13092541962641738
6,f_42,-1.7010335933653045
6,f_43,-0.019876474966789258
6,f_44,-0.4694153420131786
6,f_45,0.06756575025791152
6,f_46,-0.017676390394389972
6,f_47,-0.032094801849481144
6,f_48,-0.016681702256773824
6,f_49,0.2759034622783248
6,f_50,-0.29921633555225435
6,f_51,-0.19131934507503925
6,f_52,-0.10945621325461966
6,f_53,0.42147357218315235
6,f_54,0.1748830586992708
6,f_55,-0.44904817342032355
6,f_56,0.4286656724816179
6,f_57,-0.11750611951702421
6,f_58,-0.49027258652105254
6,f_59,-0.6971232816158929
6,f_60,-0.1841796322885873
6,f_61,-0.17876582168374383
6,f_62,-0.15378689156956912
6,f_63,-0.9576027582096117
6,f_64,-0.07631014189956989
6,f_65,-0.23951756994382528
6,f_66,-0.22106997162525144
6,f_67,-2.4842707550787004
6,f_68,0.1978259556486254
6,f_69,0.1945561598358997
6,f_70,-0.07040695788125423
6,f_71,0.19316360255467796
6,f_72,-0.508373964190714
6,f_73,0.19547749588650337
6,f_74,-1.3908963965846362
6,f_75,0.0
6,f_76,0.0
6,f_77,0.08743423822505486
6,f_78,0.03820336733512926
6,f_79,0.09820037194731235
6,f_80,-1.1518795575991516
