feature,mean_abs_shap,mean_signed_shap,std_shap
f_73,0.6089400750258525,-0.024362551802096243,0.9055365253025282
f_78,0.6033433354609216,0.01889497624038612,1.0296731268433927
f_59,0.5852144169118807,-0.09614055456535393,0.9072104880845714
f_34,0.575164367004157,0.045697594257541434,0.793051065699527
f_85,0.5733494964716553,0.06334617883287079,0.7765136639624652
f_58,0.5659645452623118,-0.07197270706914041,1.1746883465960807
f_48,0.553482037574645,-0.07098031260698384,0.8485186846777997
f_62,0.5523761981484313,-0.058043996922115024,0.8980228846077859
f_66,0.5469016566210211,-0.11170504297143108,0.7879272372846299
f_91,0.5351943573286794,-0.031761628969325474,0.8949452464872222
f_72,0.5307388352649839,-0.12313168141440956,0.65314588837632
f_94,0.5193530525647652,-0.11041786217832567,1.1957153179496252
f_84,0.5106515876296543,-0.06746916256719747,1.088653822011196
f_47,0.5100362784239675,0.06174732544054448,0.7604100232686234
f_8,0.5091212021472203,0.07487680066645219,0.6636112678953054
f_100,0.48111361103781136,-0.06604700697881816,0.8605269999108055
f_30,0.4722282412510642,0.06793679750962905,0.7099735348043043
f_70,0.4579137405498568,-0.1290665939511175,1.0425588617687636
f_77,0.45682714011808423,-0.09645498522780077,0.8348582901971631
f_50,0.44019693793268516,-0.1242498311894723,0.7001841597370182
f_23,0.4317769069451942,-0.018956386716120547,0.5533946048992348
f_81,0.427057850446221,-0.009864341949895446,0.7111563325452167
f_52,0.40765642705207095,-0.005977161193497815,0.6128037412406379
f_51,0.4046597268176916,-0.10409906370973118,0.6331794106280787
f_88,0.38710565480010006,0.04292061375344509,0.6678324612105481
f_16,0.3815354059243568,-0.05926467220922223,0.6083114609165373
f_49,0.37250239356168535,0.005470736609713647,1.6326731441127669
f_53,0.36261755664832385,0.009799090522416906,0.5548539597876486
f_46,0.357020016153725,-0.032330828780376936,0.5885982683758516
f_33,0.3557164580061068,0.014769633440184554,0.5747768818861202
f_69,0.3538841333706263,0.07693978896994141,0.5608565033598951
f_31,0.3536184010405132,-0.021317165352528745,0.5854092283426412
f_71,0.3509139542027201,0.009726631571072224,0.5393715990212377
f_86,0.3238653100268666,-0.08543911640885962,1.064116906386695
f_56,0.3214246200900259,-0.05339173169330779,0.5627024717028613
f_5,0.3138481871178536,0.004240720366863468,0.4992549398948551
f_54,0.3088042808040158,-0.008124492002937711,0.5064723526946422
f_92,0.304828282308533,-0.041159654468925104,0.9045245868110995
f_97,0.3035964895150209,0.04424900949308551,0.42228433597340953
f_60,0.30348344526156884,-0.058090593482922254,0.5045699477395041
f_35,0.3019943166226239,-0.020573987799653012,0.49220896292297156
f_67,0.29532623697934945,-0.09294444152588746,0.5762417249032573
f_65,0.2833833130384013,-0.010730469335757968,0.37879047518297326
f_40,0.27476181678045986,-0.00240499976089127,0.46372926375339163
f_45,0.27426756063413454,0.044069612237363866,0.4105527182760359
f_38,0.21096011094569453,-0.013542531855335582,0.3741881348933139
f_74,0.2102367672165012,0.009603798673925558,0.48138795496485565
f_0,0.20761362037463918,-0.011348499454707924,0.30842842054636316
f_44,0.19797445225324753,-0.04819664069587129,0.38113803599972723
f_41,0.19595865335394005,-0.02716157950886246,0.3572703058090265
f_87,0.19579111045945174,-0.006420918605888665,0.530795708675441
f_2,0.1934289513574258,0.011621164434277,0.3512133333819676
f_11,0.18433332814946904,0.020768554390594978,0.26709882543790264
f_96,0.1803636833399022,0.0166163466322085,0.3327006276016024
f_4,0.1768162081246964,0.0014212767261447404,0.27714521281716076
f_43,0.17475753314276143,-0.012757833330557711,0.33193516316095817
f_99,0.15173783423183387,-0.006094498752952011,0.6979962255011064
f_98,0.13424390195489294,-0.02096980717097779,0.404462691767905
f_89,0.13267334739325612,-0.019651557140969198,0.515409744757407
f_57,0.12520770758166144,-0.03233411714709486,0.1907476467878812
f_105,0.10323880811825357,0.013374492123230997,0.1508466430511926
f_106,0.035760568378569516,-0.0039200723660865995,0.050945589575311416
f_107,0.016230305302913396,0.0065939922913581,0.08246150699234137
f_95,0.0,0.0,0.0
f_75,0.0,0.0,0.0
f_76,0.0,0.0,0.0
