scatter0_x,scatter0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y,scatter4_x,scatter4_y,scatter5_x,scatter5_y
-2.978905,2.8215854,-2.3489666,1.8680453,1.4388169,1.4645865,-1.0387571,4.8058577,-5.855396,1.6196157,,
-1.0841552,5.6292,-2.4452646,2.0593052,1.4388169,1.4645865,-1.8674375,1.9793719,1.4038368,-1.9678899,,
-3.0245585,7.2365465,-2.4452646,2.0593052,1.4310763,1.5056509,-6.6068816,0.070655644,2.3447466,-3.2856176,,
-2.216507,4.409579,-1.8594368,1.9544342,1.4232811,1.5465096,0.20941798,6.0802565,2.1267893,-3.3903117,,
-2.287451,4.414408,0.26717314,-3.7303567,1.407584,1.6274512,0.15752526,6.0989304,2.2150357,-3.9782348,,
-10.19097,1.2246646,0.33183783,-5.01943,1.3918723,1.7071271,0.10423463,6.11535,1.4234315,-2.8902798,,
1.204125,5.876216,-1.1519417,2.3903427,1.384054,1.7464072,0.049756885,6.1293545,-2.804927,1.1658248,,
,,-0.38007784,1.6493322,1.3762851,1.7852732,-9.28803,-0.5141677,-0.20412901,-1.4275529,,
,,0.023926964,1.3701582,1.3609581,1.8616592,-9.797361,-2.4964883,0.1589224,-2.7389624,,
,,0.46908826,1.0973774,-0.08155557,-2.3205383,-9.396516,-0.5588117,1.1090709,-2.8826475,,
,,-0.86849385,0.39038292,-0.11854454,-3.009055,-9.870645,-1.0593904,-0.20888415,-1.0784928,,
,,-0.6717718,0.32860017,0.6236605,-3.2983696,-0.5202548,-1.4929063,1.8841988,-2.9514902,,
,,-2.4299722,-1.2282113,0.25653616,-1.7792511,-9.985847,-1.141064,0.9594382,-0.33248076,,
,,-3.173944,0.4935837,2.5879192,0.29269788,0.5425274,2.6004262,-0.001783913,-2.8779576,,
,,-4.8291945,1.260967,1.1466681,1.7484683,2.8525681,4.6429625,0.76564795,-3.8436954,,
,,-4.80393,1.0862776,1.6205074,1.0904075,-9.957316,-2.7293253,-1.9798797,-3.7296722,,
,,-1.9957411,1.2382134,1.6887501,1.1931717,-9.628837,-0.49340138,-9.408698,-2.6986237,,
,,-1.9435138,1.34715,1.824436,0.71261567,-9.901585,-1.7841637,-1.2836748,1.0986238,,
,,0.2533908,-4.0729194,1.979001,0.48081347,-9.890341,-1.7355595,-0.20498751,1.8143463,,
,,-1.4358531,-1.4965943,2.061693,0.24662688,-9.859597,-1.1971468,-0.4041762,0.010618328,,
,,-2.2238755,-0.8772997,3.544107,-0.34510675,-9.579291,-0.41663858,1.0201639,1.4925914,,
,,-2.2180197,-0.9008356,2.1607602,0.028127968,-9.916306,-2.041979,1.4460244,-0.7457282,,
,,-2.2121062,-0.9243322,3.0345101,-1.0020953,-0.47487003,-2.2710538,-3.0184479,-3.9614427,,
,,-2.2061334,-0.94778657,1.843704,0.106806315,1.7712395,-0.78908134,-0.6029495,2.443139,,
,,-2.173437,2.0203092,0.7131781,0.75458914,-9.6939535,-2.7395403,-0.26720655,2.0922115,,
,,-3.3741186,1.0701146,0.8131379,1.7070762,-9.141141,-2.1517065,-1.177525,3.0351105,,
,,-2.8887653,1.9516689,1.0044589,1.3240182,-8.482612,-1.4337326,-0.85982215,2.0770435,,
,,-4.1476126,1.5030329,1.0720205,1.429313,-7.7681413,0.28215912,-1.5548949,3.3804157,,
,,-5.6002436,0.3911379,1.1994634,0.9559738,-9.870782,-2.9228454,-1.219785,2.5214303,,
,,0.28127295,-4.0020456,1.3546145,0.71886337,-9.332381,-2.357238,-1.0101578,-1.6955361,,
,,0.49697948,-3.9862633,1.4298159,0.48399693,-8.482612,-1.4337326,-0.623315,2.2246888,,
,,1.0625358,-3.547311,1.6775421,0.08472597,-7.6065707,-0.48582485,-0.7764283,2.258041,,
,,-0.47328055,-4.522305,1.6464183,-1.5955037,-6.860099,-0.06755627,-0.2608197,1.1755133,,
,,0.396312,-3.9178169,2.0581543,-0.17801742,-6.1398034,0.5730846,-1.0009542,2.8582125,,
,,1.0863876,-3.3209143,2.1626654,-0.6138712,-4.939266,0.80682063,3.2354577,-0.03150878,,
,,1.1264861,-3.2500267,0.88832176,0.8734871,-4.3490667,1.1334593,3.1891034,0.17971876,,
,,1.045477,-3.622296,0.6122428,0.892243,-3.6238282,1.4260026,3.9653628,-1.499697,,
,,1.0359224,-4.1670732,-0.061628934,-2.1560705,-8.246557,-1.1751369,2.8932595,0.13699155,,
,,1.0879197,-3.2882104,-0.10603823,-2.047751,-9.622076,-2.6141562,3.7796984,0.8699387,,
,,3.0560603,3.0570102,1.7789251,-2.2554429,-7.769219,-0.8347294,1.1444095,-3.6708508,,
,,2.993,3.0379112,-2.6429071,-1.7090929,-6.7823873,-0.16807914,-0.5603162,-3.8127544,,
,,-7.8456545,-1.4119083,-2.4340088,-3.0672493,-9.151724,-2.1319373,3.500112,-1.4095329,,
,,-2.6556237,-5.951727,-2.9210315,-3.2302837,-8.490563,-1.4167542,2.2304065,-4.061208,,
,,-1.4616256,-5.7018967,0.71868813,0.14437452,-7.769086,-0.6410292,2.4742365,-2.9406495,,
,,-0.53657466,-5.0666313,-3.3538346,1.5530837,-9.658315,-0.82538515,2.4857032,-2.926543,,
,,0.24972907,-4.253996,0.56379837,-4.446361,-9.804929,-1.7984664,2.3288991,-3.6329463,,
,,2.8073409,2.711243,-0.90224427,2.3094592,0.5278444,1.1980989,,,,
,,0.8975802,-3.4374475,1.7708976,-2.3022633,-3.5573475,3.641829,,,,
,,2.4493158,-0.98099625,0.18840851,-0.6235744,-6.3608046,2.0048993,,,,
,,2.0179217,-3.0797384,-10.015643,-3.8227005,-7.3879514,1.8137871,,,,
,,1.8330822,-2.0222495,-10.399579,-4.0587144,-1.8701898,4.1759377,,,,
,,3.4552238,3.2253993,-10.223713,-3.7900474,-4.088637,3.5971174,,,,
,,3.4441445,3.1825607,0.8847406,0.27864885,-4.9763017,3.4530659,,,,
,,3.4119258,3.0821266,-9.961233,-3.7692716,0.9985418,-2.1242588,,,,
,,0.5703816,-0.7640825,0.6123585,0.28398544,1.5948812,1.440954,,,,
,,-0.44868374,-1.6232562,-0.20809044,-4.634751,1.6621124,-2.9674566,,,,
,,1.7123374,4.6205425,0.8579677,-3.4328568,1.8639989,-2.6249335,,,,
,,-0.012781796,-2.3191254,0.21625422,-4.7791924,-0.8143648,3.9841793,,,,
,,2.4876943,-1.3155049,1.9821999,-2.6784997,-1.0528743,3.6864812,,,,
,,3.3669035,2.9536145,0.2088983,-4.775153,3.1778188,-2.0857124,,,,
