hist0_values,bar1_x,bar1_height,ref_line_value,ref_line_label
2.0988481139941655,,,,
2.6449634533842845,,,,
2.3526392448410913,,,,
4.0023795165813265,,,,
4.172422936321005,,,,
4.055194184386189,,,,
3.7888609353265172,,,,
4.141696525751943,,,,
3.05311925864383,,,,
2.699157323083733,,,,
3.6609146509403137,,,,
4.0140487503068325,,,,
1.7965077899382338,,,,
2.106068042401817,,,,
2.2224838638411137,,,,
2.2198380497174934,,,,
3.1718995468757085,,,,
3.483640553013229,,,,
3.3535550059598216,,,,
3.425476387105964,,,,
2.617418092741218,,,,
2.899530892145787,,,,
4.315824588802456,,,,
4.898913959643126,,,,
4.6577388837830025,,,,
4.80215971337399,,,,
4.756129268504067,,,,
2.396146296437295,,,,
4.510466385028232,,,,
2.704917008922542,,,,
1.8327626543984292,,,,
4.391373053803046,,,,
3.5391831992081593,,,,
3.3316630595861274,,,,
3.2359217314109956,,,,
3.204077345201707,,,,
3.052173284915063,,,,
4.026254454641105,,,,
4.370170269117302,,,,
3.276426578826285,,,,
3.1303354708674442,,,,
3.107482274509447,,,,
2.7067216807531036,,,,
5.591541675750461,,,,
5.4682429585247005,,,,
5.423852077039325,,,,
4.8875191974281735,,,,
4.806365973117175,,,,
4.860886088640922,,,,
4.596229127914628,,,,
3.3702954001247427,,,,
3.8166760290886232,,,,
3.3434059959789497,,,,
2.8513023111385007,,,,
2.143429744803255,,,,
1.815894991084781,,,,
3.3901806177855183,,,,
2.751923020874295,,,,
2.0671825533311106,,,,
1.0554573418582724,,,,
2.4403216313595575,,,,
1.8327626543984292,,,,
4.435283162081087,,,,
4.158585925324234,,,,
3.944841931995192,,,,
4.1295037663813305,,,,
5.139388414965593,,,,
4.491831604227712,,,,
4.34737682301511,,,,
4.187919310186033,,,,
4.283422376598495,,,,
4.355106302145455,,,,
4.643627113464934,,,,
4.352006589863936,,,,
3.8625293764200683,,,,
3.7855199303757407,,,,
4.427708450653655,,,,
4.057212969455694,,,,
4.0383657567096165,,,,
4.390223047893695,,,,
4.160198098690848,,,,
4.162058272558674,,,,
4.7104350929728325,,,,
5.083133380524027,,,,
4.251039454386234,,,,
4.349333517679068,,,,
4.633217793409614,,,,
1.6790368775824285,,,,
1.6945945036339594,,,,
4.581480262124003,,,,
2.4419567551940164,,,,
1.3896141473837116,,,,
1.1188095662794866,,,,
2.9531355390936764,,,,
2.4657218551198143,,,,
2.3185162077109784,,,,
2.3088443179531364,,,,
2.1237144623050206,,,,
2.152637602105532,,,,
1.7782339189268381,,,,
2.8619341453574476,,,,
2.2721513572085996,,,,
1.4496115041168969,,,,
1.3583134505558847,,,,
1.5162234363675609,,,,
1.6109358560305644,,,,
2.1255029534622647,,,,
2.151636368125925,,,,
1.414263035671988,,,,
1.4206249714548083,,,,
1.2811194764962492,,,,
1.426878942994564,,,,
2.659029365000497,,,,
2.678438338467654,,,,
2.7366652588691243,,,,
2.7237259432243532,,,,
2.6686285956604983,,,,
2.7400517454227016,,,,
2.8114748951849045,,,,
2.798488867955413,,,,
1.430561314720344,,,,
1.3957218741617157,,,,
1.570398731716072,,,,
1.7703277433811981,,,,
3.06789766618728,,,,
2.732259262418297,,,,
3.5715622499013535,,,,
2.6082150451992505,,,,
3.243461939075795,,,,
3.5893303380182027,,,,
3.14047960709017,,,,
3.124509775190444,,,,
3.0547843769271505,,,,
3.3594585408424598,,,,
3.0182660460429047,,,,
5.306265874578742,,,,
2.6004132229972226,,,,
1.9475357084815843,,,,
2.59906488703088,,,,
2.909647492007361,,,,
