x,y
0.9985418,-2.1242588
-2.4299722,-1.2282113
-3.173944,0.4935837
-4.8291945,1.260967
-4.80393,1.0862776
-1.9957411,1.2382134
-1.9435138,1.34715
1.5948812,1.440954
1.6621124,-2.9674566
1.2252865,-3.676987
0.2533908,-4.0729194
1.8639989,-2.6249335
-0.8143648,3.9841793
-1.0528743,3.6864812
-1.4358531,-1.4965943
3.1778188,-2.0857124
1.5997605,-3.4238017
1.7102692,-3.1617765
4.79822,2.3236246
1.7722267,-3.2771556
-2.2238755,-0.8772997
-2.2180197,-0.9008356
-2.2121062,-0.9243322
-2.2061334,-0.94778657
-2.173437,2.0203092
-3.3741186,1.0701146
-1.4690661,-1.183738
-1.4678035,-1.2047387
-1.4665467,-1.2256627
-1.4652972,-1.2465113
-2.8887653,1.9516689
0.80490094,-3.7146692
4.067052,2.1730673
3.1362014,2.050605
1.9767419,1.9693853
-1.0217869,1.7862349
0.28894544,1.0627811
-4.1476126,1.5030329
-5.6002436,0.3911379
-0.41450268,4.639554
1.6300459,-0.7197599
-0.04910147,1.26906
-0.5785938,2.0484874
-0.25598514,2.0925384
0.16661517,1.9347374
1.1198885,1.5397954
-2.2580123,2.621112
1.6320764,1.3298825
-0.23530295,3.7636774
0.39668852,3.3422801
-0.33616027,3.6276622
-1.7699493,5.294838
-10.082469,-0.9435352
-1.2631009,1.5256147
1.3880447,-0.8646875
-0.07480468,1.4996071
-1.3390797,1.6406296
0.65946645,1.3989407
-1.3414997,1.3707243
0.037462495,3.418358
-1.3259039,4.0993648
4.7838297,2.5090578
1.1994987,1.3888192
1.2998321,1.947275
0.56659126,1.9381679
-1.1094484,1.9502839
-2.920666,2.16532
-6.4857707,1.3788527
-9.529833,-1.1437598
0.28127295,-4.0020456
0.49697948,-3.9862633
1.0625358,-3.547311
-0.47328055,-4.522305
0.396312,-3.9178169
2.6652553,2.08809
1.0863876,-3.3209143
1.1264861,-3.2500267
1.045477,-3.622296
1.0359224,-4.1670732
-0.57449496,-2.5109732
-1.400956,-2.9016707
-2.09853,-3.0995882
-2.8122907,-3.246646
-8.423264,-0.13135596
-2.5781336,1.7745727
0.33440372,1.788978
1.0879197,-3.2882104
1.2827219,-5.3236275
1.0617948,-4.0017033
3.0107045,4.806139
3.190079,4.874003
3.2374625,5.1615496
3.5310974,5.12188
3.006816,4.7750278
3.1868062,4.8425508
3.2336748,5.1343746
3.5282755,5.0947776
3.114916,0.8262639
3.3091953,0.9757836
3.4500825,1.1353385
3.633395,1.302419
3.702625,1.3125854
3.7865314,1.4068437
3.8493617,1.4301786
3.8451962,2.3981183
3.9231775,2.4903662
3.7619627,2.369708
4.0136476,2.5828085
4.0909395,2.631573
4.868609,2.1932008
3.0560603,3.0570102
2.993,3.0379112
2.9467282,4.954281
-2.7581048,4.6110144
-0.24904394,5.2018337
0.8692021,5.4901414
2.6748347,0.31719807
2.6718404,0.26258367
0.7717728,4.260388
1.3751956,4.3878837
4.3966703,2.7535017
4.5529995,-0.21773611
-7.8456545,-1.4119083
-2.6556237,-5.951727
-1.4616256,-5.7018967
-0.53657466,-5.0666313
0.24972907,-4.253996
2.8073409,2.711243
0.8975802,-3.4374475
2.4493158,-0.98099625
2.0179217,-3.0797384
0.014551055,-4.489978
4.075017,-0.23479475
3.7122567,-1.2989533
3.2266862,3.738364
3.38227,4.7921515
3.49031,1.1994205
2.8104827,5.251065
2.55864,4.83656
2.032255,5.0079985
1.8330822,-2.0222495
3.4552238,3.2253993
3.4441445,3.1825607
3.4119258,3.0821266
0.5703816,-0.7640825
-0.44868374,-1.6232562
2.618033,-3.6477885
4.483121,0.96476793
2.588417,-3.7396023
2.6879919,-2.0970585
1.7123374,4.6205425
4.064418,-1.3965381
-0.012781796,-2.3191254
1.9179388,-2.4280047
1.7798543,-2.4570227
1.6687089,-2.4665444
0.9297319,1.4939185
3.1240158,0.4812999
2.4876943,-1.3155049
5.2688932,-0.8601989
3.3669035,2.9536145
3.1810167,2.5621204
3.0512633,2.3827827
3.8690224,1.0840453
0.6396118,-5.0437503
0.39402306,-2.4868262
3.263006,-1.9879936
-0.5960767,-0.98513776
2.3406384,-1.7771634
5.2809157,-0.8210572
0.019363903,-1.7243985
1.3557801,-1.7746542
0.67968637,-1.7467804
3.65021,-2.1027954
2.2249012,-2.8164432
2.084253,-2.3406143
2.2012258,-2.3487003
-2.9953873,-4.9222245
-1.5761607,-5.552605
-0.54614437,-5.593044
0.27108485,-5.3804426
0.9578804,-5.0524645
