line0_x,line0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y,scatter4_x,scatter4_y,scatter5_x,scatter5_y
,,138.0,76.72967529296875,52.0,53.42689514160156,35.79999923706055,39.062835693359375,36.599998474121094,34.72468566894531,38.70000076293945,35.720619201660156
,,92.4000015258789,65.83549499511719,46.599998474121094,50.280906677246094,33.900001525878906,39.92433166503906,40.400001525878906,37.79137420654297,39.599998474121094,35.661476135253906
,,86.69999694824219,64.36494445800781,46.70000076293945,50.3314208984375,44.400001525878906,47.88170623779297,46.599998474121094,41.63507843017578,40.0,35.661476135253906
,,85.30000305175781,63.60506057739258,46.79999923706055,50.46653747558594,44.79999923706055,19.76698875427246,48.0,45.06730651855469,38.29999923706055,35.60239791870117
,,71.0999984741211,67.54222106933594,46.5,50.612213134765625,33.70000076293945,38.98736572265625,23.5,28.564903259277344,54.400001525878906,53.24365234375
,,96.8000030517578,67.23918151855469,41.400001525878906,48.603797912597656,34.0,41.984153747558594,34.900001525878906,38.691993713378906,45.0,46.98356628417969
,,110.0,91.83808135986328,65.69999694824219,58.68107604980469,30.200000762939453,35.808555603027344,34.29999923706055,39.15871047973633,51.400001525878906,80.9979248046875
,,94.0,90.04359436035156,41.5,48.7608642578125,32.900001525878906,36.988258361816406,33.20000076293945,39.66059875488281,63.29999923706055,79.63539123535156
,,74.0,78.38687896728516,43.5,50.33259582519531,34.29999923706055,37.665077209472656,34.5,33.05473709106445,69.4000015258789,77.12675476074219
,,62.0,67.18109130859375,41.5,52.302642822265625,35.20000076293945,35.6180305480957,33.0,38.9949951171875,59.599998474121094,70.34011840820312
,,50.0,32.690208435058594,49.400001525878906,52.707279205322266,33.20000076293945,36.57642364501953,40.0,44.56242370605469,58.0,62.46577835083008
,,51.66999816894531,55.14409637451172,45.29999923706055,48.98432922363281,31.700000762939453,35.39411926269531,16.0,9.408577919006348,53.29999923706055,50.25770568847656
,,28.700000762939453,25.327533721923828,45.20000076293945,53.54141998291016,34.20000076293945,35.35960388183594,21.200000762939453,23.381969451904297,50.70000076293945,46.22211456298828
,,94.0,99.43111419677734,45.20000076293945,54.220611572265625,37.20000076293945,36.02679443359375,18.299999237060547,24.16027069091797,37.0,44.01988983154297
,,94.3000030517578,68.84416961669922,44.70000076293945,48.33988952636719,42.0,37.579063415527344,27.5,25.256702423095703,47.0,36.854103088378906
,,99.5999984741211,68.05996704101562,44.099998474121094,47.78651428222656,32.400001525878906,40.02383804321289,20.690000534057617,36.918251037597656,40.79999923706055,47.09913635253906
,,102.0,70.22457122802734,43.599998474121094,46.801422119140625,29.299999237060547,38.44972229003906,19.959999084472656,35.90662384033203,20.760000228881836,27.52477264404297
,,93.5999984741211,66.628173828125,47.5,49.901100158691406,50.79999923706055,42.94126892089844,23.309999465942383,34.98220443725586,18.600000381469727,27.50786781311035
,,92.5999984741211,69.66460418701172,46.5,48.69252014160156,39.5,41.38374328613281,21.549999237060547,34.2415657043457,22.5,46.995208740234375
