scatter0_x,scatter0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y
,,-2.3489666,1.8680453,-2.3671606,7.5029583,-9.141141,-2.1517065
,,-9.868431,-3.445719,-0.8555459,7.332245,-8.482612,-1.4337326
,,-3.5573475,3.641829,0.9085088,6.314477,-7.7681413,0.28215912
,,-6.3608046,2.0048993,-8.86618,2.2075193,-9.870782,-2.9228454
,,-7.3879514,1.8137871,-3.8006773,6.8442016,-9.332381,-2.357238
,,-1.8701898,4.1759377,-2.4280772,7.5066075,-8.482612,-1.4337326
,,-4.088637,3.5971174,-0.9244416,7.3611073,-7.6065707,-0.48582485
,,-4.9763017,3.4530659,-2.782315,7.333837,-6.860099,-0.06755627
,,-2.4452646,2.0593052,-0.7871964,1.8242807,-6.1398034,0.5730846
,,-2.4452646,2.0593052,-0.5716426,1.5381352,-4.939266,0.80682063
,,-1.8594368,1.9544342,-0.36150172,1.23686,-4.3490667,1.1334593
,,0.26717314,-3.7303567,-0.18861099,0.25243625,-3.6238282,1.4260026
,,0.33183783,-5.01943,0.80214566,-0.59519666,-8.246557,-1.1751369
,,-0.86849385,0.39038292,-1.3928937,2.8440654,-9.622076,-2.6141562
,,-0.6717718,0.32860017,-1.2203834,2.6463199,-7.769219,-0.8347294
,,-2.4299722,-1.2282113,-1.034584,2.3871918,-6.7823873,-0.16807914
,,-3.173944,0.4935837,-0.7871964,1.8242807,-9.151724,-2.1319373
,,-1.9957411,1.2382134,-0.5716426,1.5381352,-8.490563,-1.4167542
,,-1.9435138,1.34715,-0.18861099,0.25243625,-7.769086,-0.6410292
,,0.2533908,-4.0729194,0.7999507,-0.57592434,-9.658315,-0.82538515
,,-1.4358531,-1.4965943,-0.36150172,1.23686,-9.804929,-1.7984664
,,-2.2238755,-0.8772997,-1.8674375,1.9793719,0.54237396,-2.358992
,,-2.2180197,-0.9008356,0.20941798,6.0802565,1.7831753,-1.7532394
,,-2.2121062,-0.9243322,0.15752526,6.0989304,0.5278444,1.1980989
,,-2.2061334,-0.94778657,0.10423463,6.11535,0.9985418,-2.1242588
