scatter0_x,scatter0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y
,,1.3323768,43.691395,0.7862639,43.410614,1.0599571,25.482037
,,1.5817075,45.73526,0.9895552,43.661915,1.25417,27.027248
,,1.1142282,45.40822,0.9829271,43.151634,1.4197136,18.451763
,,1.5609944,43.31753,0.97478133,44.00793,0.74923253,18.859573
,,1.5611376,46.715218,1.1161611,43.773075,0.6785871,18.367489
,,0.8481659,45.88216,1.0956901,43.364464,0.69748455,18.02799
,,1.2523416,42.98999,0.9928324,44.563225,0.28442875,36.52415
,,0.7135309,38.93165,1.2441429,40.16647,0.8719629,40.306892
,,1.3180972,48.443626,0.62934256,47.32473,1.013488,27.58161
,,2.84587,47.430748,0.60533357,47.047535,0.9413242,33.979023
,,2.9786074,52.62218,1.36506,40.62137,1.059304,26.22231
,,1.2273895,44.59516,1.3848948,39.883656,1.1925006,19.869503
,,1.1877437,44.968513,1.0178468,42.953922,1.2046257,20.74372
,,0.8224145,45.814545,2.3403044,43.45228,1.2176962,23.719336
,,2.5116484,41.717037,0.8804566,43.532745,0.7649645,18.07854
,,1.4028982,45.731087,0.7435774,48.191135,0.8357292,18.248789
,,0.945351,41.431625,1.7565653,43.957253,0.8699902,18.822393
,,1.8665599,41.65463,0.9018515,45.951447,0.91909635,20.771383
,,3.3914552,37.815014,1.3165236,49.583492,0.64867973,32.13138
,,1.3477648,37.52757,0.7913065,46.620983,0.57324994,31.653458
,,2.0625584,36.3862,1.0783248,46.443092,0.8843424,30.725042
,,1.5654142,37.59092,0.99623704,44.558006,1.5519171,27.084728
,,1.377514,37.24583,1.3655276,44.129036,0.6459278,25.210295
,,0.8109503,36.289867,0.7636829,48.670147,1.1764345,19.06253
,,2.7256505,30.00005,1.1436659,44.650684,0.79740465,31.598095
,,1.0934259,41.72834,0.7730873,45.90338,0.7531691,26.048529
,,1.8993262,37.224678,0.83790475,36.314316,0.99247724,20.146517
,,1.6354622,39.405308,1.2400593,36.252174,0.7998357,31.611347
,,1.6287621,39.5571,0.91278416,35.149605,0.73068607,25.916245
,,1.1500851,39.27186,1.0668669,36.239098,0.8412741,19.944351
,,1.4149364,43.01045,0.9268835,36.780437,1.0736527,32.951824
,,1.1538,40.81736,0.9399708,33.851963,1.1409078,27.797638
,,1.8334525,33.653835,0.72806543,36.06992,1.3784391,21.838036
,,1.7261015,37.95698,0.8139197,36.36083,1.4827065,24.600273
,,1.6354622,39.405308,1.4768976,40.522137,1.5021353,18.22012
,,1.3522753,40.514843,0.9674749,36.93726,0.9245581,28.011353
,,0.55973476,39.166683,1.0444514,34.86709,1.0713872,23.207874
,,2.758832,43.550186,0.39500913,42.173607,1.039707,17.834423
,,4.063865,82.77653,0.9791645,41.27618,1.3853527,15.429201
,,1.3552678,134.67493,1.6221213,36.46095,1.1297019,11.123032
,,2.3784726,134.55037,1.3848948,39.883656,0.98666257,9.224735
,,1.6837493,137.5728,1.2282526,40.03266,1.2862612,30.846813
,,1.4982567,137.75804,0.9147862,39.46561,1.2424415,28.998455
,,0.6962246,76.886826,1.2064055,34.27412,1.3459479,33.701317
,,2.5001826,53.22693,0.9346195,39.896034,1.4754236,33.33494
,,1.6667966,52.059723,1.134202,38.603207,0.4021339,34.32311
,,2.1871746,54.862682,0.8072614,37.76647,0.31402144,32.546467
,,0.5376806,47.229805,1.3036255,37.92591,0.26210475,32.603485
,,2.0916212,48.112183,1.0580238,38.137806,0.6533399,31.266224
,,2.8967745,50.249443,1.8145163,49.238377,0.9819,30.333094
,,1.6067876,51.05224,2.6413217,96.51012,1.3870704,29.764187
,,4.913399,68.23614,2.4817767,98.26573,0.56288016,30.591412
,,1.6724236,62.251404,2.8752737,101.359505,1.2092918,28.746948
,,2.049787,63.415577,2.329528,93.36186,1.7393458,27.293743
,,1.708383,64.500175,2.6907158,92.0095,1.2564608,24.27262
,,1.3727736,21.936764,2.2279766,81.24422,1.2681464,32.984943
,,0.23562057,24.529795,1.1703771,86.01601,1.4035923,24.887827
,,0.48074457,24.721195,1.9502206,85.01967,0.8409381,23.190317
,,0.6101442,23.715984,2.4459956,89.885254,0.45930633,22.908854
,,0.23976696,24.495611,1.6636701,110.51652,0.8437293,22.8633
,,0.1883018,24.198765,4.3429356,93.23869,0.5096174,23.622751
,,0.76560193,23.841915,2.753564,85.35738,1.240714,22.52589
,,0.51020944,24.140661,2.1533878,88.727585,1.0594862,34.535248
,,0.4878774,26.157541,2.5424485,92.037735,1.0594862,34.535248
,,2.2703953,26.326187,2.5596094,94.781906,1.1878386,34.70989
,,0.4016188,26.50205,1.9892669,86.35791,1.316839,34.883224
,,1.16015,28.725739,2.955758,80.750854,1.5741441,35.224636
,,0.5404074,26.8231,2.3839676,140.32297,1.8266422,35.556904
,,0.30299604,26.124521,6.7055883,124.71788,1.9497938,35.71885
