line0_x,line0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y,scatter4_x,scatter4_y
,,,,48.0,43.79537582397461,89.19999694824219,66.27983856201172,108.0,77.1638412475586
,,,,61.0,25.87877082824707,85.30000305175781,62.22340393066406,100.0,74.2017822265625
,,,,64.0,26.201168060302734,96.5,68.32707214355469,99.0,58.70044708251953
,,,,48.29999923706055,40.21327590942383,62.599998474121094,67.21209716796875,98.0,57.127967834472656
,,,,44.20000076293945,40.21327590942383,60.70000076293945,63.76276397705078,102.0,52.41584014892578
,,,,42.79999923706055,38.05964660644531,57.70000076293945,60.91726303100586,94.0,51.06833267211914
,,,,45.0,33.74430465698242,53.900001525878906,53.02568817138672,82.0,49.532470703125
,,,,44.0,40.66238784790039,44.900001525878906,48.43418884277344,93.0,76.36634826660156
,,,,44.599998474121094,22.35512924194336,70.4000015258789,68.82603454589844,119.0,85.20550537109375
,,,,46.099998474121094,22.765350341796875,68.0,62.923065185546875,101.0,72.49359130859375
,,,,38.150001525878906,14.734907150268556,66.69999694824219,58.83063125610352,94.5,61.73194885253906
,,,,46.83000183105469,44.495811462402344,65.30000305175781,67.21209716796875,112.95999908447266,79.51084899902344
,,,,46.31999969482422,48.00102615356445,60.79999923706055,63.76276397705078,103.3499984741211,77.17634582519531
,,,,47.0099983215332,47.30195617675781,53.099998474121094,53.02568817138672,100.08000183105467,74.75446319580078
,,,,49.099998474121094,33.664215087890625,46.29999923706055,48.48872375488281,114.0,52.05854034423828
,,,,42.0,20.98416328430176,54.400001525878906,60.91726303100586,130.5,61.32063293457031
,,,,41.099998474121094,16.83041000366211,73.0,93.606201171875,45.0,40.45244598388672
,,,,41.400001525878906,16.82708740234375,67.9000015258789,70.18238830566406,43.0,38.505340576171875
,,,,42.29999923706055,16.823760986328125,79.5999984741211,70.0855484008789,47.25,42.43489837646485
,,,,42.099998474121094,16.8204345703125,84.0,69.98509216308594,45.0,40.180545806884766
,,,,49.369998931884766,44.36322021484375,83.9000015258789,69.88096618652344,43.029998779296875,63.66902160644531
,,,,49.400001525878906,43.27276992797851,135.0,136.58950805664062,46.86000061035156,69.13451385498047
,,,,54.900001525878906,41.061744689941406,62.0,58.184471130371094,41.560001373291016,38.05237579345703
,,,,46.79999923706055,34.02983856201172,140.39999389648438,85.82672119140625,42.0,27.11101531982422
,,,,45.70000076293945,34.20045852661133,102.8000030517578,61.92063903808594,25.399999618530273,25.335298538208008
,,,,47.70000076293945,33.56351852416992,95.0,60.54730224609375,41.099998474121094,43.91399383544922
,,,,33.400001525878906,22.510234832763672,90.5999984741211,59.26953125,42.20000076293945,43.92673873901367
,,,,36.599998474121094,23.687305450439453,88.9000015258789,58.66586685180664,43.29999923706055,43.939414978027344
,,,,40.400001525878906,24.98491477966309,81.0,61.91506576538086,43.099998474121094,43.95201110839844
,,,,46.599998474121094,26.435482025146484,138.0,82.58056640625,42.29999923706055,39.036659240722656
,,,,71.19999694824219,26.584083557128903,92.4000015258789,58.78007507324219,28.700000762939453,27.840126037597656
,,,,25.399999618530273,24.884471893310547,86.69999694824219,57.62232971191406,33.599998474121094,30.86124038696289
,,,,22.899999618530273,24.102876663208008,85.30000305175781,57.077674865722656,39.400001525878906,34.37281036376953
,,,,21.200000762939453,23.35694122314453,71.0999984741211,60.337772369384766,50.0,29.265865325927734
,,,,22.100000381469727,22.642581939697266,96.8000030517578,60.02886199951172,36.0,51.184181213378906
,,,,26.399999618530273,21.951236724853516,45.0,47.639503479003906,37.5,67.02135467529297
,,,,33.0,19.279890060424805,44.0,52.718414306640625,51.66999816894531,64.9741439819336
,,,,31.399999618530273,20.61148452758789,47.0,46.62200164794922,117.0,50.44587326049805
,,,,24.899999618530273,18.19213104248047,48.29999923706055,46.21263885498047,60.0,37.83331298828125
,,,,26.299999237060547,18.795879364013672,62.0,58.184471130371094,51.0,38.05410385131836
,,,,25.100000381469727,20.601242065429688,50.0,53.12675476074219,58.900001525878906,36.655052185058594
,,,,25.100000381469727,33.34613800048828,113.0,123.65399169921876,43.900001525878906,37.04981994628906
,,,,34.20000076293945,22.984102249145508,53.5,55.68061065673828,52.29999923706055,38.982421875
,,,,29.799999237060547,25.453155517578125,60.79999923706055,45.53119659423828,28.0,25.209184646606445
,,,,18.0,21.914501190185547,60.70000076293945,61.73755645751953,48.0,39.64842987060547
,,,,32.0,19.32464027404785,50.79999923706055,58.19310760498047,45.099998474121094,36.41645050048828
,,,,25.0,23.130451202392575,47.900001525878906,58.03685760498047,47.79999923706055,38.64499282836914
,,,,41.0,20.929828643798828,48.599998474121094,59.087162017822266,59.900001525878906,44.06349182128906
,,,,30.0,25.43252182006836,44.70000076293945,53.15436553955078,73.0999984741211,51.183937072753906
,,,,39.0,26.9375,45.099998474121094,49.405860900878906,95.0,58.63158416748047
,,,,24.0,23.09968376159668,49.29999923706055,53.01856231689453,121.6999969482422,65.07318878173828
,,,,24.399999618530273,23.030820846557617,55.20000076293945,55.71576690673828,36.0,30.89757537841797
,,,,24.299999237060547,22.89543342590332,54.900001525878906,70.40296936035156,109.0,60.44114685058594
,,,,24.0,22.75433349609375,43.61000061035156,49.61017990112305,68.0,47.873634338378906
,,,,29.799999237060547,26.47042465209961,43.36000061035156,51.84043884277344,54.0,37.84967803955078
,,,,26.5,25.405689239501953,43.099998474121094,55.06339263916016,40.79999923706055,46.81129837036133
,,,,24.200000762939453,24.36343765258789,42.83000183105469,49.85755157470703,25.200000762939453,51.66197204589844
,,,,21.600000381469727,23.349285125732425,48.34000015258789,48.483978271484375,24.799999237060547,50.73978805541992
,,,,20.0,22.369651794433594,68.69999694824219,52.742576599121094,23.299999237060547,53.434059143066406
,,,,22.0,35.944419860839844,57.5,49.03057098388672,22.600000381469727,51.06824493408203
,,,,15.399999618530272,20.381107330322266,51.400001525878906,71.40570068359375,25.399999618530273,51.072967529296875
,,,,18.0,21.909473419189453,63.29999923706055,73.8679428100586,24.899999618530273,50.139930725097656
,,,,19.600000381469727,16.39261817932129,69.4000015258789,73.5213623046875,23.899999618530273,52.8690071105957
,,,,16.600000381469727,17.50400733947754,59.599998474121094,68.77330780029297,23.5,50.49665451049805
,,,,12.300000190734863,19.03529357910156,58.0,63.59764862060547,23.299999237060547,20.96310806274414
,,,,13.100000381469728,20.378456115722656,53.29999923706055,56.207244873046875,24.200000762939453,20.831851959228516
,,,,13.5,20.153087615966797,80.0999984741211,57.79305648803711,24.5,20.19889259338379
,,,,16.700000762939453,20.74883270263672,50.70000076293945,53.58256530761719,24.700000762939453,20.016929626464844
,,,,21.799999237060547,21.173763275146484,37.0,42.97264099121094,25.0,19.758207321166992
,,,,31.200000762939453,22.171905517578125,47.0,55.912376403808594,25.5,19.42778778076172
,,,,63.900001525878906,24.03240203857422,47.0,31.85245704650879,26.5,19.467945098876953
,,,,16.299999237060547,20.822734832763672,57.0,55.4561653137207,32.0,20.10680389404297
