formula,sintering_temp_C,sintering_time_h,sintering_time_missing,crystal_system,phase_transition,epsilon_r
Li0.774Zr0.057NbO3,1150,1.0,0,orthorhombic,0,33.01
Ba6Nb4ZrO18,1625,2.0,0,rhombohedral,0,32.4
Ba6Ta4TiO18,1550,4.0,0,hexagonal,0,29.3
Ba5SrNb4TiO18,1450,4.0,0,rhombohedral,0,50.8
Ba5SrNb4ZrO18,1600,4.0,0,rhombohedral,0,39.5
Ba5SrTa4TiO18,1550,4.0,0,hexagonal,0,34.9
Ba1Zn0.333Ta0.667O3,1350,120.0,0,hexagonal,0,29.5
Ba1Zn0.333Ta0.667O3,1550,2.0,0,hexagonal,0,29.6
Ba1Zn0.333Ta0.667O3,1650,2.0,0,hexagonal,0,28.4
Ba1Zn0.333Ta0.667O3,1400,2.0,0,hexagonal,0,30.2
Nd1Co0.5Ti0.5O3,1440,4.0,0,unknown,0,27.0
Nd0.9Sr0.1Co0.45Ti0.55O3,1440,4.0,0,unknown,0,29.32
Ba2Sr1YNb3O12,1450,4.0,0,unknown,0,34.1
Ba1Sr2YNb3O12,1450,4.0,0,unknown,0,34.7
Sr3YNb3O12,1450,4.0,0,hexagonal,0,34.9
Ba1Zn0.33Ta0.67O3,1500,4.0,0,trigonal,0,29.1
Ba1Zn0.33Ta0.67O3,1500,4.0,0,trigonal,0,30.4
Sr0.1Ba0.9Ti0.1Zn0.3Ta0.6O3,1500,4.0,0,trigonal,0,33.7
Ba1Mg0.333Nb0.667O3,1350,4.0,0,unknown,0,31.2
Ba1Mg0.333Nb0.667O3,1500,4.0,0,unknown,0,31.5
Ba1Mg0.333Nb0.667O3,1350,4.0,0,unknown,0,31.0
Ba1Zn0.25Ta0.50Ti0.33O3,1320,2.0,0,unknown,0,31.5
Ba1Sn0.226Zn0.255Nb0.515O3,1500,6.0,0,cubic,0,32.0
Ba3YNb3O12,1450,4.0,0,rhombohedral,0,29.9
La0.680Al0.04Ti0.96O3,1325,33.0,0,orthorhombic,0,71.9
La0.687Al0.06Ti0.94O3,1325,33.0,0,orthorhombic,0,67.6
La0.693Al0.08Ti0.92O3,1350,33.0,0,orthorhombic,0,66.9
Ca4La2Ti4Mg0.333Nb0.667O17,1540,4.0,0,orthorhombic,0,59.3
Ca4La2Ti3Mg0.667Nb1.333O17,1540,4.0,0,orthorhombic,0,49.21
Ca4La2Ti2.5Mg0.833Nb1.667O17,1540,4.0,0,orthorhombic,0,44.36
Ca4La2Ti2Mg1Nb2O17,1540,4.0,0,orthorhombic,0,40.45
Ca4La2Ti1Mg1.333Nb2.667O17,1540,4.0,0,orthorhombic,0,35.23
Pb0.55Ca0.45Fe0.475Nb0.475Zr0.05O3,1150,3.0,0,orthorhombic,0,108.5
Pb0.50Ca0.50Fe0.475Nb0.475Zr0.05O3,1150,3.0,0,orthorhombic,0,94.3
Pb0.45Ca0.55Fe0.475Nb0.475Zr0.05O3,1150,3.0,0,orthorhombic,0,81.2
Pb0.40Ca0.60Fe0.475Nb0.475Zr0.05O3,1150,3.0,0,orthorhombic,0,67.2
Ca4La2Ti5O17,1540,4.0,0,orthorhombic,0,71.86
Pb0.55Ca0.45Fe0.475Nb0.475Zr0.05O3,1200,3.0,0,orthorhombic,0,100.1
Pb0.45Ca0.55Fe0.475Nb0.475Zr0.05O3,1200,3.0,0,orthorhombic,0,86.8
Pb0.40Ca0.60Fe0.475Nb0.475Zr0.05O3,1200,3.0,0,orthorhombic,0,70.1
Pb0.60Ca0.40Fe0.495Nb0.495Zr0.01O3,1150,3.0,0,orthorhombic,0,126.7
Pb0.55Ca0.45Fe0.495Nb0.495Zr0.01O3,1150,3.0,0,orthorhombic,0,90.6
Pb0.50Ca0.50Fe0.495Nb0.495Zr0.01O3,1150,3.0,0,orthorhombic,0,86.3
Pb0.45Ca0.55Fe0.495Nb0.495Zr0.01O3,1150,3.0,0,orthorhombic,0,82.5
Pb0.40Ca0.60Fe0.495Nb0.495Zr0.01O3,1150,3.0,0,orthorhombic,0,68.7
Pb0.60Ca0.40Fe0.495Nb0.495Zr0.01O3,1200,3.0,0,orthorhombic,0,128.4
Pb0.55Ca0.45Fe0.495Nb0.495Zr0.01O3,1200,3.0,0,orthorhombic,0,97.1
Pb0.50Ca0.50Fe0.495Nb0.495Zr0.01O3,1200,3.0,0,orthorhombic,0,89.2
Pb0.45Ca0.55Fe0.495Nb0.495Zr0.01O3,1200,3.0,0,orthorhombic,0,85.3
Pb0.50Ca0.50Fe0.475Nb0.475Zr0.05O3,1200,3.0,0,orthorhombic,0,96.5
Ba1Zn0.20Co0.133Nb0.667O3,1375,10.0,0,trigonal,0,35.5
Ba1Co0.233Zn0.100Nb0.667O3,1400,20.0,0,hexagonal,0,34.5
La0.8Ti0.6Al0.4O3,1425,33.0,0,cubic,0,38.7
La0.700Al0.10Ti0.90O3,1350,33.0,0,tetragonal,0,62.6
La0.708Al0.125Ti0.875O3,1350,33.0,0,tetragonal,0,60.7
La0.717Al0.15Ti0.85O3,1375,33.0,0,tetragonal,0,57.7
La0.733Al0.20Ti0.80O3,1400,33.0,0,cubic,0,53.9
La0.767Al0.30Ti0.70O3,1425,33.0,0,cubic,0,44.9
La0.800Al0.40Ti0.60O3,1400,33.0,0,cubic,0,39.6
La0.833Al0.50Ti0.50O3,1425,33.0,0,cubic,0,34.4
La0.680Al0.04Ti0.96O3,1350,33.0,0,orthorhombic,0,70.4
La0.687Al0.06Ti0.94O3,1325,33.0,0,orthorhombic,0,68.0
La0.693Al0.08Ti0.92O3,1375,33.0,0,orthorhombic,0,66.7
La0.700Al0.10Ti0.90O3,1350,33.0,0,tetragonal,0,65.3
Ba1Co0.333Nb0.667O3,1450,4.0,0,cubic,0,32.0
La0.708Al0.125Ti0.875O3,1350,33.0,0,tetragonal,0,60.8
La0.733Al0.20Ti0.80O3,1400,33.0,0,cubic,0,53.1
La0.767Al0.30Ti0.70O3,1400,33.0,0,cubic,0,46.3
La0.800Al0.40Ti0.60O3,1400,33.0,0,cubic,0,40.0
La0.833Al0.50Ti0.50O3,1425,33.0,0,cubic,0,36.6
La0.8Ti0.6Al0.4O3,1350,33.0,0,cubic,0,29.4
La0.8Ti0.6Al0.4O3,1350,33.0,0,cubic,0,34.2
La0.8Ti0.6Al0.4O3,1375,33.0,0,cubic,0,35.1
La0.8Ti0.6Al0.4O3,1375,33.0,0,cubic,0,38.7
La0.8Ti0.6Al0.4O3,1400,33.0,0,cubic,0,39.6
La0.8Ti0.6Al0.4O3,1400,33.0,0,cubic,0,40.0
La0.8Ti0.6Al0.4O3,1425,33.0,0,cubic,0,38.3
La0.717Al0.15Ti0.85O3,1375,33.0,0,tetragonal,0,54.4
Ba6Nb4TiO18,1425,4.0,0,rhombohedral,0,46.2
CaTi0.50Mg0.1667Nb0.3333O3,1450,4.0,0,orthorhombic,0,54.31
CaTi0.35Mg0.2167Nb0.4333O3,1450,4.0,0,orthorhombic,0,44.24
Ca0.45Li0.175Dy0.0667Nd0.2417TiO3,1320-1380,3.0,0,orthorhombic,0,100.1
Ca0.45Li0.225Dy0.0333Nd0.2583TiO3,1320-1380,3.0,0,orthorhombic,0,105.1
Ca0.30Li0.20Dy0.10Nd0.30TiO3,1320-1380,3.0,0,orthorhombic,0,97.6
Ca0.20Li0.25Dy0.10Nd0.35TiO3,1320-1380,3.0,0,tetragonal,0,89.4
Ca0.40Li0.25Dy0.0333Nd0.2833TiO3,1320-1380,3.0,0,orthorhombic,0,103.0
Ca0.10Li0.25Dy0.1333Nd0.3833TiO3,1320-1380,3.0,0,tetragonal,0,70.6
Ca0.5Pb0.5Zr0.95Ti0.05O3,1350,2.0,0,rhombohedral,0,72.0
Ca4La2Ti5O17,1550,4.0,0,cubic,0,73.0
Ca0.268Li0.165Sm0.433TiO3,1300,3.0,0,unknown,0,95.5
Ca0.5Pb0.5Fe0.5Ta0.5O3,1100,0.3,0,cubic,0,67.9
Ca0.5Pb0.5Fe0.5Ta0.5O3,1150,0.3,0,cubic,0,79.6
Ca0.5Pb0.5Fe0.5Ta0.5O3,1200,0.3,0,cubic,0,84.0
Ca0.5Pb0.5Fe0.5Ta0.5O3,1250,0.3,0,cubic,0,83.9
Pb1.0ZrO3,1200,2.0,0,orthorhombic,0,129.0
Ba0.05Pb0.95ZrO3,1200,2.0,0,unknown,0,135.0
Pb0.90Sr0.10ZrO3,1300,2.0,0,unknown,0,127.0
Pb0.50Sr0.50ZrO3,1500,2.0,0,unknown,0,101.0
Pb0.40Sr0.60ZrO3,1500,2.0,0,unknown,0,73.0
Pb0.95Ca0.05ZrO3,1250,2.0,0,orthorhombic,0,112.0
Pb0.70Ca0.30ZrO3,1400,2.0,0,rhombohedral,0,132.0
Ca0.45Li0.125Dy0.10Nd0.225TiO3,1320-1380,3.0,0,orthorhombic,0,121.3
Ca0.20Li0.25La0.10Nd0.35TiO3,1320-1380,3.0,0,tetragonal,0,110.4
Ca0.30Li0.20La0.10Nd0.30TiO3,1320-1380,3.0,0,orthorhombic,0,116.0
